fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
6.6;0.3;0.24;1.2;0.034;17.0;121.0;0.9933;3.13;0.36;9.2;5
5.6;0.245;0.25;9.7;0.032;12.0;68.0;0.9940000000000001;3.31;0.34;10.5;5
5.9;0.23;0.24;3.8;0.038;61.0;152.0;0.99139;3.31;0.5;11.3;7
6.7;0.47;0.34;8.9;0.043;31.0;172.0;0.9964;3.22;0.6;9.2;5
5.8;0.27;0.27;12.3;0.045;55.0;170.0;0.9972;3.28;0.42;9.3;6
6.8;0.31;0.25;10.5;0.043;30.0;165.0;0.9972;3.36;0.55;10.55;6
8.2;0.27;0.43;1.6;0.035;31.0;128.0;0.9916;3.1;0.5;12.3;6
6.7;0.23;0.42;11.2;0.047;52.0;171.0;0.9975799999999999;3.54;0.74;10.4;5
6.0;0.2;0.71;1.6;0.15;10.0;54.0;0.9927;3.12;0.47;9.8;5
7.5;0.23;0.49;7.7;0.049;61.0;209.0;0.9941;3.14;0.3;11.1;7
7.4;0.18;0.31;1.4;0.057999999999999996;38.0;167.0;0.9931;3.16;0.53;10.0;7
8.4;0.31;0.31;0.95;0.021;52.0;148.0;0.9903799999999999;2.93;0.32;11.5;5
6.3;0.2;0.19;12.3;0.048;54.0;145.0;0.9966799999999999;3.16;0.42;9.3;6
6.4;0.595;0.14;5.2;0.057999999999999996;15.0;97.0;0.9951;3.38;0.36;9.0;4
8.2;0.18;0.49;1.1;0.033;28.0;81.0;0.9923;3.0;0.68;10.4;7
6.3;0.27;0.51;7.6;0.049;35.0;200.0;0.9954799999999999;3.16;0.54;9.4;4
7.2;0.2;0.22;1.6;0.044000000000000004;17.0;101.0;0.99471;3.37;0.53;10.0;5
7.4;0.29;0.5;1.8;0.042;35.0;127.0;0.9937;3.45;0.5;10.2;7
5.8;0.2;0.27;1.4;0.031;12.0;77.0;0.9905;3.25;0.36;10.9;7
7.4;0.64;0.47;14.15;0.168;42.0;185.0;0.9984;2.9;0.49;9.3;5
6.8;0.3;0.33;12.8;0.040999999999999995;60.0;168.0;0.99659;3.1;0.56;9.8;5
7.3;0.51;0.26;3.3;0.09;7.0;135.0;0.9944;3.01;0.52;8.8;5
5.6;0.22;0.32;1.2;0.024;29.0;97.0;0.9882299999999999;3.2;0.46;13.05;7
5.9;0.19;0.26;7.4;0.034;33.0;123.0;0.995;3.49;0.42;10.1;6
6.7;0.3;0.74;5.0;0.038;35.0;157.0;0.9945;3.21;0.46;9.9;5
7.1;0.23;0.35;16.5;0.04;60.0;171.0;0.9990000000000001;3.16;0.59;9.1;6
7.4;0.32;0.27;12.9;0.04;60.0;221.0;0.99831;3.05;0.66;9.4;5
7.4;0.32;0.55;16.6;0.055999999999999994;53.0;238.0;1.0017;2.96;0.58;8.7;6
6.2;0.32;0.32;2.2;0.036000000000000004;15.0;70.0;0.9899;3.16;0.48;12.7;6
6.3;0.21;0.58;10.0;0.081;34.0;126.0;0.9962;2.95;0.46;8.9;5
8.2;0.22;0.49;9.6;0.037000000000000005;53.0;154.0;0.9951;3.02;0.33;10.6;6
6.3;0.695;0.55;12.9;0.055999999999999994;58.0;252.0;0.9980600000000001;3.29;0.49;8.7;5
6.0;0.59;0.0;0.8;0.037000000000000005;30.0;95.0;0.9903200000000001;3.1;0.4;10.9;4
7.3;0.19;0.27;13.9;0.057;45.0;155.0;0.9980700000000001;2.94;0.41;8.8;8
7.0;0.15;0.28;14.7;0.051;29.0;149.0;0.99792;2.96;0.39;9.0;7
5.3;0.47;0.1;1.3;0.036000000000000004;11.0;74.0;0.99082;3.48;0.54;11.2;4
7.5;0.29;0.67;8.1;0.037000000000000005;53.0;166.0;0.9966;2.9;0.41;8.9;6
7.2;0.27;0.31;1.2;0.031;27.0;80.0;0.98892;3.03;0.33;12.7;6
5.9;0.29;0.33;7.4;0.037000000000000005;58.0;205.0;0.99495;3.26;0.41;9.6;5
5.8;0.28;0.34;4.0;0.031;40.0;99.0;0.9896;3.39;0.39;12.8;7
7.4;0.16;0.49;1.2;0.055;18.0;150.0;0.9917;3.23;0.47;11.2;6
6.0;0.19;0.26;1.4;0.039;30.0;104.0;0.98998;3.32;0.41;12.4;6
6.3;0.36;0.2;2.0;0.048;48.0;191.0;0.9929;3.17;0.51;9.6;5
6.4;0.21;0.44;7.4;0.045;47.0;182.0;0.9957;3.24;0.46;9.1;5
6.4;0.27;0.45;8.3;0.05;52.0;196.0;0.9955;3.18;0.48;9.5;5
6.7;0.34;0.54;16.3;0.047;44.0;181.0;0.9987;3.04;0.56;8.8;5
6.9;0.24;0.33;4.8;0.04;16.0;131.0;0.9936;3.26;0.64;10.7;6
6.1;0.34;0.21;5.0;0.042;17.0;133.0;0.9937299999999999;3.02;0.53;9.4;5
7.2;0.39;0.63;11.0;0.044000000000000004;55.0;156.0;0.9974;3.09;0.44;8.7;6
6.8;0.22;0.3;10.6;0.07;67.0;194.0;0.99654;2.89;0.42;9.0;6
8.0;0.2;0.44;1.0;0.057;24.0;111.0;0.9915799999999999;3.09;0.32;11.2;6
7.9;0.33;0.28;31.6;0.053;35.0;176.0;1.0103;3.15;0.38;8.8;6
6.6;0.27;0.32;1.3;0.044000000000000004;18.0;93.0;0.99044;3.11;0.56;12.25;5
6.9;0.29;0.41;7.8;0.046;52.0;171.0;0.9953700000000001;3.12;0.51;9.6;5
7.1;0.14;0.4;1.2;0.051;55.0;136.0;0.9932;3.3;0.96;9.8;7
7.7;0.2;0.44;13.9;0.05;44.0;130.0;0.99855;3.11;0.48;10.0;6
6.8;0.3;0.35;2.8;0.038;10.0;164.0;0.9912;3.09;0.53;12.0;6
6.1;0.45;0.27;0.8;0.039;13.0;82.0;0.9927;3.23;0.32;9.5;5
7.6;0.32;0.34;18.35;0.054000000000000006;44.0;197.0;1.0008;3.22;0.55;9.0;5
5.6;0.26;0.5;11.4;0.028999999999999998;25.0;93.0;0.9942799999999999;3.23;0.49;10.5;6
7.1;0.37;0.3;6.2;0.04;49.0;139.0;0.99021;3.17;0.27;13.6;6
8.3;0.18;0.3;1.1;0.033;20.0;57.0;0.9910899999999999;3.02;0.51;11.0;6
6.8;0.52;0.32;13.2;0.044000000000000004;54.0;221.0;0.9972;3.27;0.5;9.6;6
7.7;0.3;0.34;1.2;0.048;4.0;119.0;0.9908399999999999;3.18;0.34;12.1;6
7.6;0.24;0.44;3.8;0.037000000000000005;49.0;146.0;0.9911;3.06;0.37;11.6;6
6.3;0.27;0.18;7.7;0.048;45.0;186.0;0.9962;3.23;0.47;9.0;5
6.7;0.23;0.31;2.1;0.046;30.0;96.0;0.9926;3.33;0.64;10.7;8
5.6;0.28;0.27;3.9;0.043;52.0;158.0;0.9920200000000001;3.35;0.44;10.7;7
8.5;0.15;0.49;1.5;0.031;17.0;122.0;0.9932;3.03;0.4;10.3;6
8.2;0.2;0.38;3.5;0.053;41.0;174.0;0.99306;3.22;0.41;11.6;5
7.8;0.17;0.23;1.7;0.028999999999999998;39.0;128.0;0.99272;3.37;0.41;10.7;7
6.8;0.22;0.35;17.5;0.039;38.0;153.0;0.9994;3.24;0.42;9.0;6
6.8;0.24;0.29;9.5;0.042;56.0;157.0;0.9958600000000001;3.11;0.51;10.1;6
